"id","Value","area","ratio","rValue"
1,25838.775390625,0.00417027690575004,0.0667244304920006,1724.07757255017
2,377192.1875,0.0010534927910271,0.0168558846564335,6357.90800580785
3,335065.21875,0.0239295112120651,0.382872179393041,128287.150541618
4,751152.4375,0.0546224233172706,0.873958773076329,656476.262670794
5,741545.75,0.0136875257435917,0.219000411897468,162398.824690817
6,53798.73046875,0.000533217320902581,0.0085314771344413,458.982638856111
7,111936.0625,0.0222241294380255,0.355586071008408,39802.9046685266
8,780908.75,0.0410563934140216,0.656902294624346,512980.74976723
9,674421.1875,0.0625,1,674421.1875
10,1195805.5,0.0625,1,1195805.5
11,1752536.5,0.0597722457058955,0.956355931294328,1676048.6765848
12,1984095.375,0.0475426110343734,0.760681776549974,1509265.19469959
13,271110.21875,0.0194085428075267,0.310536684920428,84189.668578677
14,564386,5.53843974970771e-05,0.000886150359953234,500.130857052566
15,762701.375,0.0359365243320445,0.574984389312713,438541.384332341
16,4147809.25,0.0625,1,4147809.25
17,6776000.5,0.0625,1,6776000.5
18,9510592,0.0625,1,9510592
19,10738182,0.0625,1,10738182
20,3502216.75,0.0579493299780712,0.927189279649139,3247217.82560765
21,1206053.875,0.00335894714278792,0.0537431542846067,64817.1394796728
22,58471.27734375,0.00285340535792862,0.0456544857268579,2669.47609692138
23,161253.15625,0.0286398514399375,0.458237623039,73892.2630275364
24,393379.625,0.0515554719236798,0.824887550778877,324493.955392563
25,10964736,0.0625,1,10964736
26,19938310,0.0625,1,19938310
27,14490731,0.0625,1,14490731
28,12828962,0.0532251267931187,0.851602028689899,10925170.0651856
29,8823176,0.0445154064969027,0.712246503950443,6284276.25973945
30,5565353,0.0133016223967409,0.212825958347854,1184451.5857691
31,580230.125,0.00756347876569592,0.121015660251135,70216.9316744735
32,648280.6875,0.0593962099768346,0.950339359629354,616086.653418827
33,2099721.25,0.0625,1,2099721.25
34,24316090,0.0625,1,24316090
35,33564504,0.0625,1,33564504
36,23958656,0.0625,1,23958656
37,23661536,0.0243232380225918,0.389171808361469,9208402.75373
38,1914821,0.00213604752139139,0.0341767603422623,65442.378415331
39,4807897,0.0391162487788461,0.625859980461538,3009070.32248109
40,9249615,0.0485560906640501,0.776897450624802,7186002.31276093
41,38073264,0.0447564074478324,0.716102519165319,27264360.2632462
42,35246320,0.0590182286466,0.944291658345599,33282805.9633797
43,24077954,0.0353380027213822,0.565408043542115,13613868.863637
44,23425192,0.0165836792228935,0.265338867566296,6215613.91780305
45,21502416,0.00621207256012437,0.0993931609619899,2137193.09455967
