"id","Value","area","ratio","rValue"
1,3171655,0.0106740233584207,0.170784373734731,541669.11287763
2,1578072.75,0.0424329676615417,0.678927482584668,1071396.95949296
3,1390865.375,0.00579464416481064,0.0927143066369702,128953.118868495
4,8802020,0.00637824916473771,0.102051986635803,898263.627408074
5,7442547.5,0.0464747347633029,0.743595756212846,5534246.73641253
6,5203375,0.0550501588416623,0.880802541466597,4583145.92420375
7,1053340.875,0.0293962097532317,0.470339356051708,495427.668850442
8,10152983,0.00229570122686223,0.0367312196297957,372931.448470582
9,31161296,0.0519321489098204,0.830914382557127,25892369.0255199
10,26838992,0.0625,1,26838992
11,8045316,0.0625,1,8045316
12,7305285.5,0.0474170835877702,0.758673337404323,5542325.33097641
13,22875108,0.0106996604244633,0.171194566791412,3916094.20436676
14,19017534,0.0624658039864699,0.999452863783519,19007128.8184004
15,9833164,0.0153352901619039,0.245364642590463,2412710.77039341
16,9244391,1.13959912278559e-05,0.000182335859645695,1685.58397988592
17,5563896,0.0181592103301006,0.29054736528161,1616575.32350089
18,6346016,0.00215006345530408,0.0344010152848653,218309.393414
