"id","Value","area","ratio","rValue"
1,1600929.25,0.00596104227338847,0.0953766763742155,152691.310975266
2,1256067.125,0.0195318797910013,0.31251007665602,392533.633518857
3,686483.6875,0.000428360894599419,0.00685377431359071,4705.00426408653
4,2104569.75,0.00111270989709048,0.0178033583534477,37468.4094390758
5,1681835.5,0.0283422916596962,0.45347666655514,762673.156234097
6,11158000,0.0269224934956883,0.430759895931012,4806418.91879824
7,8976292,0.0550714297246132,0.881142875593812,7909395.74504973
8,7349266.5,0.0137751406363964,0.220402250182342,1619794.87378971
9,13365076,0.0559969105744969,0.89595056919195,11974447.4494937
10,10071374,0.0625,1,10071374
11,7091835.5,0.00155838923042955,0.0249342276868728,176829.441074847
