"id","Value","area","ratio","rValue"
1,8823176,0.00641533329299362,0.102645332687898,905657.835883876
2,5565353,0.0469212346760515,0.750739754816824,4178131.74668908
3,5075146.5,0.036007278519861,0.576116456317776,2923875.41687356
4,6300861,0.00113575552866901,0.0181720884587041,114499.803457999
5,17063472,0.0185318443540551,0.296509509664881,5059481.71590042
6,15582491,0.0624160741708088,0.998657186732941,15561566.6243514
7,11472058,0.012725713631445,0.20361141810312,2335841.99794124
8,9864204,0.00173116485059603,0.0276986376095364,273225.01190254
9,23425192,0.032869261089663,0.525908177434607,12319500.0307757
10,16690684,0.0446323154715269,0.714117047544431,11919101.9795771
11,15438460,0.0625,1,15438460
12,12445155,0.0416202252780375,0.6659236044486,8287522.47552152
13,10546868,0.0161404460866019,0.258247137385631,2723698.46938411
14,19216732,0.0389167125671465,0.622667401074344,11965632.5715822
15,35737964,0.0625,1,35737964
16,32573588,0.0625,1,32573588
17,8685501,0.0625,1,8685501
18,7255462,0.0498562142721371,0.797699428354194,5787677.88984558
19,3969163,0.00346238164279079,0.0553981062846527,219884.113735111
20,21131538,1.28609687460347e-05,0.000205775499936556,4348.35279637832
21,19550488,0.0335238462295868,0.536381539673388,10486520.8548061
22,35711720,0.0625,1,35711720
23,32033694,0.0625,1,32033694
24,8040471.5,0.0622096656137591,0.995354649820145,8003120.69427136
25,18282282,0.00594970869448511,0.0951953391117618,1740388.03472686
26,16770909,0.0625,1,16770909
27,12761942,0.0625,1,12761942
28,11041332,0.0625,1,11041332
29,19255894,1.84093206376285e-05,0.000294549130202057,5671.806828963
30,17523460,0.00853141398430564,0.13650262374889,2391998.26715873
31,13139668,0.03037694689886,0.48603115038176,6386287.95367439
32,11350027,0.038556366069291,0.616901857108655,7001852.73453338
