"id","Value","area","ratio","rValue"
1,3555727.75,0.00383175357705518,0.0613080572328828,217994.76040155
2,505137.03125,0.00713186498892892,0.114109839822863,57641.1057245339
3,780936.125,0.0546135409534767,0.873816655255627,682394.992715791
4,622399.8125,0.0464528201823086,0.743245122916938,462595.625145042
5,3663340,0.00516847175795072,0.0826955481272114,302941.909276339
6,2604758.75,0.00109877176222017,0.0175803481955226,45792.5657903343
7,683398.5625,0.00749290124690459,0.119886419950473,81930.2070574249
8,327799.09375,0.0329579897681705,0.527327836290727,172857.586845249
9,446308.78125,0.0625,1,446308.78125
10,436246.21875,0.0625,1,436246.21875
11,13766845,0.0317316566227746,0.507706505964394,6989516.77310339
12,14328101,0.0488275145750721,0.781240233201153,11193688.9665697
13,2475943.25,0.0258905592728039,0.414248948364863,1025656.88752358
14,723727.5,0.0103935992017845,0.166297587228552,120354.137060952
15,320246.53125,0.00158904189136903,0.0254246702619044,8142.16245954993
16,40433.76953125,0.0566741301504528,0.906786082407245,36664.7794701996
17,270561.15625,0.0625,1,270561.15625
18,152673.171875,0.0625,1,152673.171875
19,3144257.5,0.0617397032056995,0.987835251291192,3106008.39763671
20,19080130,0.0610748063834583,0.977196902135333,18645043.9283394
21,4346176,0.0603743215754441,0.965989145207106,4198358.83915964
22,612951.5625,0.0227339874286017,0.363743798857627,222957.329859468
23,4470764.5,0.00504338743005679,0.0806941988809086,360764.759712706
24,116240.796875,0.0587996364162471,0.940794182659953,109358.665487757
25,141586.75,0.0625,1,141586.75
26,439185,0.0625,1,439185
27,499638.40625,0.0581994573460714,0.931191317537143,465258.945808096
28,33418796,0.0149221494385174,0.238754391016279,7978884.28747726
29,4729261.5,0.0557922661837015,0.892676258939225,4221699.46336531
30,29379.78515625,0.0409729115078995,0.655566584126391,19260.4053972501
31,32283582,0.0305145732886339,0.488233172618142,15761915.6633379
32,2455127,0.0625,1,2455127
33,0,0.0625,1,0
34,31930.54296875,0.0625,1,31930.54296875
35,190338.453125,0.0567378029885574,0.907804847816918,172790.170472848
36,788902.75,0.00154537788684625,0.02472604618954,19506.4458355551
37,3877247.75,0.0259643155902603,0.415429049444165,1610721.34724203
38,0,0.0485982703779411,0.777572326047058,0
39,19146210,0.0478685226565725,0.765896362505159,14664012.5947599
40,9758472,0.0625,1,9758472
41,993503.8125,0.0625,1,993503.8125
42,8364541.5,0.0625,1,8364541.5
43,54579824,0.0408544433937251,0.653671094299602,35677253.2807597
44,44503980,0.00118518648049686,0.0189629836879498,843928.246788844
45,8668613,0.00497704711522553,0.0796327538436085,690305.525194505
46,30591694,0.0457615916463687,0.732185466341899,22398793.7375787
47,13727716,0.0598673636143194,0.957877817829111,13149474.6458578
48,18373800,0.048459087357886,0.775345397726176,14246041.2687412
49,16154128,0.0213412767662721,0.341460428260354,5515995.46505257
50,168741296,0.00460106809564379,0.0736170895303006,12422243.095091
51,24679878,0.0140035897009747,0.224057435215595,5529710.16611379
52,12022422,0.0180742123047706,0.28918739687633,3476732.92232872
