"id","Value","area","ratio","rValue"
1,169350336,1.36895538598772e-05,0.000219032861758036,37093.2887337649
2,141189808,0.00256624135055203,0.0410598616088324,5797233.97705762
3,221974432,3.64555640129381e-06,5.8328902420701e-05,12947.5249840185
4,219406896,0.00826720163092326,0.132275226094772,29022096.7751522
5,226250224,0.0301768063331667,0.482828901330668,109240147.079737
6,221860816,0.0318290653083457,0.509265044933531,112985958.42923
7,205083856,0.025950105385731,0.415201686171696,85151162.8177933
8,197590736,0.0470998719642359,0.753597951427775,148903973.870706
9,97729592,0.0249469311301523,0.399150898082437,39008854.4160302
10,223552672,0.000246159175951213,0.0039385468152194,880472.664339388
11,221513152,0.0300145454036314,0.480232726458102,106377864.931288
12,229215888,0.0625,1,229215888
13,225771600,0.0625,1,225771600
14,209730112,0.0625,1,209730112
15,201823728,0.0625,1,201823728
16,99242976,0.0164835274054071,0.263736438486514,26173989.0350426
17,239650464,0.00399274191311624,0.0638838706098599,15309799.2337689
18,226731216,0.0365306587885653,0.584490540617044,132522251.0146
19,223883664,0.0625,1,223883664
20,262487856,0.0625,1,262487856
21,255070960,0.0625,1,255070960
22,98248784,0.0204851286244778,0.327762057991646,32202223.6390167
23,244814976,0.0269406301372776,0.431050082196441,105527515.52772
24,230971440,0.060529182820147,0.968466925122352,223688200.287882
25,227886832,0.0625,1,227886832
26,270502656,0.0625,1,270502656
27,264886592,0.0625,1,264886592
28,103298488,0.0150043942146577,0.240070307434524,24798899.7716815
29,219752256,0.00386956768559711,0.0619130829695538,13605539.6584746
30,218216528,0.0573875390344279,0.918200624550847,200366552.296917
31,194979296,0.0625,1,194979296
32,193034576,0.0625,1,193034576
33,113591984,0.0625,1,113591984
34,111987224,0.0303271680554702,0.485234688887524,54340085.7970174
35,90231840,0.000494299864883249,0.00790879783813198,713625.38112267
36,221789088,0.0303469934413426,0.485551895061481,107690111.982358
37,198246416,0.0605091519824111,0.968146431718578,191931560.251397
38,196880240,0.0623659372615507,0.997854996184812,196457931.134065
39,115917176,0.0341060024309327,0.545696038894923,63255543.7830857
40,114873216,0.000566029314825299,0.00905646903720479,1040345.72390814
41,122004168,0.0261574808622169,0.41851969379547,51061147.0331311
42,121278384,0.0267164501612366,0.427463202579786,51842046.428341
